primary 3' end position,Gene strand
308,+
5076,+
9230,+
9920,+
14144,+
18696,+
20763,-
25325,+
25800,+
27282,+
28256,+
29276,+
34831,+
53259,-
58242,+
63298,-
80060,-
85567,+
87971,+
104038,+
104760,+
107518,+
111013,+
114197,-
116660,+
119427,+
124107,+
125884,+
130765,+
131273,+
131238,-
138490,+
138461,-
142763,-
144393,-
156584,-
163796,+
169915,-
173481,+
173448,-
174910,-
178834,+
180136,-
181574,-
185170,-
187282,+
188232,+
189977,+
197540,+
198550,+
199895,+
206113,+
210118,-
213507,-
215924,-
216540,-
229073,+
229037,-
237342,+
237314,-
240800,+
250697,-
252957,+
254752,+
258533,+
261274,-
280931,+
288029,+
299360,+
339722,+
342569,+
353306,+
372786,-
373844,-
384147,-
395246,-
399105,+
400237,-
402661,+
403951,+
404507,-
416419,+
417865,+
423245,+
425983,+
426582,+
426488,-
431064,+
432571,-
433643,-
438495,+
438462,-
440783,+
442229,-
449008,-
450324,+
451952,+
454214,+
456766,+
457240,+
459314,+
463727,+
469717,-
471443,+
472018,+
472488,-
476669,-
487498,+
489982,+
490499,+
492489,+
493395,+
496986,+
512774,-
529319,+
538648,-
549329,-
551492,+
552082,-
569932,-
573900,-
580087,-
598830,-
600195,-
627610,+
633230,-
635126,+
636834,+
636843,-
638954,-
640509,-
650035,+
650002,-
653004,+
654678,+
654645,-
657053,-
657795,-
658126,-
666998,-
671018,+
678881,-
686281,-
687685,-
688955,-
691883,+
694999,-
698230,-
701425,+
703434,+
705643,+
705612,-
706353,-
710699,+
724850,+
748586,-
753942,+
758437,+
760604,+
760520,-
769828,+
770106,+
775130,+
775890,+
782280,+
782248,-
783225,-
790411,+
792972,-
795078,+
801255,-
802852,-
815245,+
816087,+
820534,+
831706,+
833623,-
841018,-
842656,-
843796,-
846467,+
850232,-
853174,+
855594,-
859739,-
872127,-
874120,+
877428,+
885918,-
888938,+
896147,-
897654,-
899348,-
906598,-
913492,-
917758,-
921055,+
921615,-
926479,-
928632,+
933521,+
936222,+
940384,+
940357,-
945753,-
946660,-
954242,+
955620,+
959233,+
959621,+
967100,+
976272,+
979842,+
979935,-
981295,-
983001,-
984577,-
988731,+
1011382,+
1011352,-
1014456,+
1014426,-
1021981,-
1023853,+
1023814,-
1025709,-
1026167,-
1036038,+
1037377,-
1047733,+
1057908,-
1062316,+
1062285,-
1096300,+
1109018,+
1111076,-
1116110,-
1116659,-
1116871,-
1118141,-
1118818,-
1130998,+
1136591,-
1141463,+
1141383,-
1142804,+
1143164,+
1144263,+
1147344,+
1148684,+
1154808,+
1158771,+
1161187,+
1162892,+
1163650,+
1163612,-
1165940,-
1177202,-
1182562,+
1182530,-
1186031,-
1191878,+
1219681,-
1227924,-
1228597,-
1231157,+
1231130,-
1237543,-
1239375,+
1243111,-
