Dataset 2. The predicted transcription termination sites of Term-Seq.,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. avermitilis,,,,S. clavuligerus,,,,S. coelicolor,,,,S. griseus,,,,S. lividans,,,,S. tsukubaensis,,,,S. venezuelae,,,
Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score
BA000030,+,2803400,3013.19682708004,CP027859,+,1165943,3757.07903643369,NC_003888,-,1622903,21.4221260708884,NC_010572,-,6511849,13.6819997425448,CP009124,-,6545309,5563.25559121684,CP020700,-,5598497,2936.21857904605,CP059991,+,1696799,4252.45917122498
BA000030,+,5956675,1914.89643381658,CP027858,+,2656915,2768.8604072318,NC_003888,-,2042309,12.6047747024762,NC_010572,-,2045264,14.5669003335088,CP009124,-,5240538,1362.43464189905,CP020700,-,4216577,2841.2649857012,CP059991,+,1842105,2613.4541477938
BA000030,-,6372704,1783.72142506109,CP027858,+,4294907,2306.11226510529,NC_003888,-,4335313,49.0831170686189,NC_010572,-,342272,14.5054778986967,CP009124,+,2700255,681.689761068362,CP020700,-,2791295,2396.64126507712,CP059991,-,3514373,1377.99137318584
BA000030,-,6329203,1704.31722493877,CP027858,-,5767675,1994.68588583076,NC_003888,-,3671676,16.1749497596151,NC_010572,-,4545196,40.6728383934422,CP009124,-,3428994,670.049800568581,CP020700,+,2637777,2364.53133568505,CP059991,+,5257267,802.920684955509
BA000030,-,8122352,1702.25788670909,CP027858,-,4414251,1504.44768492798,NC_003888,-,4406501,17.2113546341195,NC_010572,-,8270058,14.9184111931229,CP009124,+,3996416,617.349303268619,CP020700,+,3168291,1745.91815033718,CP059991,-,4497853,733.296829073123
BA000030,+,6203143,1250.88456064635,CP027858,-,4428746,1133.78612646623,NC_003888,-,4028691,12.6978270705068,NC_010572,-,3186029,12.697080457345,CP009124,+,5115551,510.38281656691,CP020700,+,3959096,1452.30031409035,CP059991,+,4888310,648.624426534528
BA000030,+,5304978,742.501614126843,CP027858,+,1833733,1101.2108931612,NC_003888,-,4295104,12.5969630800179,NC_010572,-,3318733,48.8586787316033,CP009124,-,979983,498.726049001171,CP020700,-,3221477,1198.05439666743,CP059991,+,3867929,647.810664920009
BA000030,+,4410606,716.161920130052,CP027858,+,3111712,1023.74630427288,NC_003888,-,5616933,14.5267498462691,NC_010572,-,1473404,19.9514149495337,CP009124,-,4739264,428.606854599643,CP020700,+,3732204,1112.52292179025,CP059991,-,4715661,621.812230085613
BA000030,+,3655943,660.370042792476,CP027858,-,3316675,1017.22602480483,NC_003888,-,3369137,26.3834214601416,NC_010572,-,691495,321.633710172887,CP009124,+,4021191,395.639097727012,CP020700,-,3000050,1085.2430438298,CP059991,+,544597,604.238528390452
BA000030,-,2222598,496.35523298554,CP027859,-,204152,772.466752299682,NC_003888,-,2563107,81.2040215506284,NC_010572,-,5210027,19.991422642147,CP009124,-,5286407,390.933695859627,CP020700,+,2531990,969.673581904146,CP059991,+,2980060,543.109236983298
BA000030,+,8140011,484.105341765367,CP027858,-,3278364,677.763020459313,NC_003888,-,3230965,46.6930859924088,NC_010572,-,4602263,17.1448420735587,CP009124,+,5686528,376.106848764016,CP020700,+,3753409,919.775745399534,CP059991,+,3722395,519.627058954898
BA000030,+,4765915,412.923423163593,CP027858,-,4556948,677.127097370542,NC_003888,-,2040793,16.3502972367351,NC_010572,-,6363831,17.5610813675052,CP009124,-,3845804,367.059583093034,CP020700,+,5905568,910.950797319321,CP059991,-,4694164,475.094455561426
BA000030,-,1992013,411.977109715485,CP027859,+,1100095,609.777824313929,NC_003888,-,3949777,12.5689721974919,NC_010572,-,1114576,12.7235419567323,CP009124,-,3419098,325.165805773701,CP020700,+,2764941,728.692276401198,CP059991,-,5401497,472.567959421786
BA000030,-,3295687,406.862381021379,CP027858,-,2535231,583.283988564164,NC_003888,-,5108155,21.4712505219703,NC_010572,-,1702518,15.2986425938604,CP009124,-,3434716,322.052660131858,CP020700,+,3497527,671.052932029722,CP059991,+,544746,459.380475568664
BA000030,+,5095311,382.550904383041,CP027858,+,4145274,561.044169391979,NC_003888,-,4674124,18.7871885914361,NC_010572,-,4644088,14.0730427319477,CP009124,-,3428875,314.873282999937,CP020700,-,7930810,629.199587018814,CP059991,-,4715549,451.654403569217
BA000030,+,6653922,362.61916678655,CP027858,-,2540527,524.838631438106,NC_003888,-,6253040,17.7356631344529,NC_010572,-,2552850,12.1869052479803,CP009124,-,2269774,284.58234244805,CP020700,+,3440479,623.005369066094,CP059991,+,4288276,415.553623144733
BA000030,-,6604435,342.924579622627,CP027858,-,4098764,495.320404957807,NC_003888,-,3223935,15.9609937566063,NC_010572,-,2725950,12.066016841856,CP009124,+,5686606,272.803536893727,CP020700,+,5905250,602.296233548487,CP059991,-,4402689,368.112061901939
BA000030,-,5155214,339.107714013274,CP027858,-,1523476,490.258531528498,NC_003888,-,2254828,20.798857193065,NC_010572,-,3156447,12.5282670405956,CP009124,+,4017105,256.568227628707,CP020700,-,2525222,593.029140215679,CP059991,+,4632400,363.404788310446
BA000030,+,5964605,338.457565717479,CP027858,-,3081427,465.633096682369,NC_003888,-,3997810,13.1491893808906,NC_010572,-,6740305,24.7299630924139,CP009124,-,4405408,252.4128469168,CP020700,-,5758016,570.899612968499,CP059991,-,5100356,352.027960398539
BA000030,-,5452769,330.430045966287,CP027858,+,4788087,459.209944118518,NC_003888,-,3450617,22.9640545584302,NC_010572,-,6259518,30.3728413920693,CP009124,-,6186406,248.478834915475,CP020700,+,3805910,569.169243565222,CP059991,+,7842258,348.525046939103
BA000030,-,4886831,324.472588023605,CP027858,-,726324,455.119045343933,NC_003888,-,4375707,19.3251487195446,NC_010572,-,2123221,13.5776911861322,CP009124,-,5253398,241.757177949031,CP020700,-,3818507,559.258767696283,CP059991,-,4690095,332.691960498883
