Strand,Position,TTS categories,S2_head.reads,▽aCPSF1_head.reads
+,10581,Primary,6,3
+,11518,Primary,32,12
+,11532,Secondary,25,53
-,11474,Primary,45,32
-,11342,Secondary,11,6
+,16447,Primary,54,9
+,16441,Secondary,47,7
+,16454,Secondary,13,1
+,17620,Primary,53,66
-,17565,Primary,10,2
-,20408,Primary,22,29
+,24148,Primary,48,31
-,24041,Primary,10,1
-,24028,Secondary,8,0
-,26617,Primary,10,3
-,28933,Primary,136,119
-,28921,Secondary,12,3
-,28966,Secondary,77,126
+,30431,Primary,7,1
-,30398,Primary,16,4
-,30349,Secondary,7,10
-,30384,Secondary,8,11
+,32880,Primary,23,-326
-,32881,Primary,141,527
-,32873,Secondary,59,79
-,42158,Primary,15,22
+,44756,Primary,15,2
-,44724,Primary,62,25
-,44713,Secondary,7,0
-,44732,Secondary,23,8
+,47803,Primary,22,3
+,47747,Secondary,10,48
+,48880,Primary,12,8
+,48841,Secondary,10,2
+,51888,Primary,14,11
+,52730,Primary,69,40
+,52736,Secondary,7,2
+,52760,Secondary,8,114
+,54470,Primary,42,60
+,54403,Secondary,16,60
+,55060,Primary,6,-1
-,54872,Primary,24,3
-,54863,Secondary,23,8
-,54865,Secondary,8,0
-,55782,Primary,9,22
-,56837,Primary,44,57
-,56861,Secondary,16,39
-,58555,Primary,7,6
-,59583,Primary,26,62
-,59486,Secondary,8,19
+,63070,Primary,18,11
+,63059,Secondary,9,2
+,63912,Primary,133,31
+,63919,Secondary,78,12
+,63925,Secondary,17,0
+,64455,Primary,36,33
+,64480,Secondary,19,40
+,66812,Primary,50,10
+,66821,Secondary,6,5
+,67141,Primary,165,131
+,67132,Secondary,40,26
+,67149,Secondary,27,2
-,68136,Primary,22,2
-,68100,Secondary,7,2
-,68127,Secondary,12,1
-,70072,Primary,13,3
-,70025,Secondary,6,1
-,70049,Secondary,11,1
-,71276,Primary,45,18
-,71206,Secondary,31,23
-,71242,Secondary,6,2
+,73588,Primary,1986,971
+,73595,Secondary,654,412
