TTS position	Strand	Signal intensity	Associated gene	TTS category
45330	+	1.422417197	SAVERM_36	A
62896	+	0.67392654	None	N
67730	+	40.6743639	None	N
98683	+	169.2327252	None	N
121733	+	3.743878026	None	N
616891	+	16.91526076	None	N
616943	+	259.8015826	None	N
748820	+	0.854835527	SAVERM_595	A
803705	+	0.465854164	SAVERM_646	A
992440	+	0.634335798	SAVERM_838	A
1054129	+	1.538880738	None	N
1060445	+	2.200379924	SAVERM_886	A
1071646	+	2.004734901	None	N
1238634	+	0.569890352	SAVERM_975	A
1319410	+	0.478281517	SAVERM_1043	A
1376915	+	1.528762067	SAVERM_1090	A
1377081	+	1.023317162	None	N
1377232	+	2.718252182	None	N
1426839	+	12.82945896	SAVERM_1138	A
1519900	+	1.075335256	SAVERM_1224	A
1535732	+	10.12309333	None	N
1589191	+	0.41383607	SAVERM_1280	A
1589294	+	0.349390623	SAVERM_1280	A
1619631	+	0.800508751	None	N
1704932	+	0.401408717	SAVERM_1385	A
1747370	+	1.20422615	None	N
2008689	+	0.505444905	None	N
2024163	+	1.422417197	SAVERM_1652	A
2052837	+	2.381288912	SAVERM_1676	A
2052968	+	2.43792437	None	N
2130443	+	1.35797175	SAVERM_1749	A
2217246	+	4346.454789	None	N
2217548	+	0.738371986	SAVERM_1814	A
2217594	+	0.815244786	SAVERM_1814	A
2219741	+	0.530299611	None	N
2221630	+	1.848680619	SAVERM_1815	A
2221976	+	0.530299611	SAVERM_1815	A
2319234	+	0.349390623	SAVERM_1897	A
2326570	+	0.79039008	SAVERM_1902	A
2335383	+	0.557462999	None	N
2500140	+	3.962069073	None	N
2749062	+	5.203577282	None	N
2803400	+	2054.388869	None	N
2867824	+	7.337203077	SAVERM_2358	A
2867981	+	0.621908446	SAVERM_2358	A
2932763	+	7.101083371	None	N
2949897	+	0.621908446	None	N
2975708	+	918.2721022	None	N
2976129	+	0.349390623	SAVERM_2443	A
3058953	+	0.401408717	None	N
3061282	+	1.179371444	SAVERM_2510	A
3107343	+	0.478281517	None	N
3111371	+	1.112617315	SAVERM_2539	A
3127010	+	0.815244786	None	N
