pos	gene	strand	head.reads	ratio1_1											
26	RNA_46	-	40	1.769216											
37	RNA_46	-	316	1.605363											
41	RNA_46	-	1331	1.886742											
45	RNA_38	-	382	1.120771											
49	RNA_38	-	1063	1.252314											
51	RNA_38	-	2368	1.420753											
54	RNA_38	-	3563	1.325507											
66	RNA_38	-	46984	2.704604											
227	RNA_38	-	92	1.375509											
234	RNA_38	-	47617	8.528378											
3339	RNA_39	-	8	1.140348											
3343	RNA_39	-	191	3.220904											
3354	RNA_39	-	4611	8.319036											
5078	RNA_47	-	331	1.631678											
5082	RNA_47	-	1299	1.849574											
5086	RNA_40	-	366	1.114769											
5090	RNA_40	-	1027	1.242446											
5092	RNA_40	-	2274	1.405203											
5095	RNA_40	-	3599	1.332471											
5107	RNA_40	-	48216	2.761508											
5268	RNA_40	-	96	1.367815											
5275	RNA_40	-	47157	8.372888											
8380	RNA_41	-	9	1.219507											
8384	RNA_41	-	252	4.876863											
8395	RNA_41	-	4703	7.865683											
10581	MMP0001	+	6	1.214278											
11342	MMP0003	-	11	1.119564											
11474	MMP0003	-	45	1.257141											
11518	MMP0002	+	32	1.14035											
11532	MMP0002	+	25	1.17857											
16441	MMP0006	+	47	1.207964											
16447	MMP0006	+	54	1.504668											
16454	MMP0006	+	13	1.166665											
17565	MMP0008	-	10	1.109889											
17620	MMP0007	+	53	1.602266											
20408	MMP0010	-	22	5.39912											
24028	MMP0014	-	8	1.102563											
24041	MMP0014	-	10	1.109889											
24148	MMP0013	+	48	1.666657											
26617	MMP0017	-	10	1.526288											
28921	MMP0020	-	12	1.66663											
28933	MMP0020	-	136	1.683414											
28966	MMP0020	-	77	1.129412											
30349	MMP0022	-	7	1.179483											
30384	MMP0022	-	8	1.140348											
30398	MMP0022	-	16	1.219175											
30431	MMP0021	+	7	1.109373											
32873	MMP0025	-	59	1.483603											
32880	MMP0024	+	23	1.103603											
32881	MMP0025	-	141	1.444794											
36687	RNA_45	-	12	1.307684											
36773	RNA_45	-	76	1.499997											
36787	RNA_45	-	50	1.190113											
36808	RNA_45	-	1367	1.77803											
36812	RNA_45	-	772	1.212204											
36817	RNA_45	-	14026	2.42093											
37091	RNA_48	-	769	1.468046											
37099	RNA_42	-	2258	1.454692											
37117	RNA_42	-	47274	3.025537											
37278	RNA_42	-	109	1.443088											
37285	RNA_42	-	46905	8.464194											
40190	RNA_36	-	101	1.512688											
40232	RNA_36	-	130	1.200308											
40267	RNA_36	-	181	1.169001											
40468	RNA_44	-	6	1.285701											
40471	RNA_44	-	15	1.535695											
40475	RNA_44	-	218	4.516072											
40486	RNA_44	-	4670	8.331229											
42158	MMP0027	-	15	3.499583											
44713	MMP0029	-	7	1.132073											
44724	MMP0029	-	62	1.652625											
44732	MMP0029	-	23	1.109523											
44756	MMP0028	+	15	1.107142											
47747	MMP0030	+	10	1.172411											
47803	MMP0030	+	22	1.846121											
48841	MMP0031	+	10	1.249994											
48880	MMP0031	+	12	1.66663											
51888	MMP0033	+	14	1.181816											
52730	MMP0034	+	69	1.95832											
52736	MMP0034	+	7	1.205876											
52760	MMP0034	+	8	1.571388											
54403	MMP0036	+	16	1.146788											
54470	MMP0036	+	42	3.21041											
54863	MMP0038	-	23	1.638871											
54865	MMP0038	-	8	1.131145											
54872	MMP0038	-	24	1.237621											
55060	MMP0037	+	6	1.103446											
55782	MMP0039	-	9	1.499972											
56837	MMP0040	-	44	2.75993											
56861	MMP0040	-	16	1.231881											
58555	MMP0041	-	7	1.41174											
59486	MMP0042	-	8	1.222216											
59583	MMP0042	-	26	1.393933											
61525	MMP0043	+	6	1.086955											
63059	MMP0044	+	9	1.126759											
63070	MMP0044	+	18	1.321423											
63912	MMP0045	+	133	1.747187											
63919	MMP0045	+	78	2.039986											
63925	MMP0045	+	17	1.459447											
64455	MMP0046	+	36	1.449994											
64480	MMP0046	+	19	1.413034											
66812	MMP0050	+	50	2.041645											
66821	MMP0050	+	6	1.374977											
67132	MMP0051	+	40	1.104438											
67141	MMP0051	+	165	2.078424											
67149	MMP0051	+	27	1.278348											
68100	MMP0053	-	7	1.279989											
68127	MMP0053	-	12	1.239995											
68136	MMP0053	-	22	1.333328											
70025	MMP0056	-	6	1.85702											
70049	MMP0056	-	11	1.314277											
70072	MMP0056	-	13	1.191174											
71206	MMP0057	-	31	3.214128											
71242	MMP0057	-	6	1.119998											
71276	MMP0057	-	45	1.454541											
73588	MMP0058	+	1986	1.872583											
73595	MMP0058	+	654	2.051445											
73596	MMP0059	-	65	1.261043											
73599	MMP0058	+	98	1.239024											
73603	MMP0058	+	56	1.21374											
73607	MMP0058	+	23	1.113861											
73648	MMP0058	+	26	1.201549											
74066	MMP0060	-	16	1.88884											
74076	MMP0060	-	6	1.162158											
74104	MMP0060	-	22	1.293329											
74111	MMP0060	-	13	1.101562											
74113	MMP0060	-	19	1.134751											
74124	MMP0060	-	35	1.196628											
74134	MMP0060	-	503	2.752607											
75055	MMP0062	-	38	1.379996											
75101	MMP0062	-	23	1.172931											
75110	MMP0062	-	89	1.410136											
76379	MMP0063	+	66	1.211538											
76388	MMP0063	+	57	1.290815											
76401	MMP0063	+	39	1.364483											
76430	MMP0063	+	10	1.333322											
78406	MMP0065	+	131	1.916078											
78414	MMP0065	+	16	1.639974											
78815	MMP0066	+	87	1.209638											
78822	MMP0066	+	194	2.065928											
78829	MMP0066	+	36	1.43373											
78831	MMP0066	+	9	1.130433											
78833	MMP0066	+	10	1.175436											
78838	MMP0066	+	11	1.314277											
78841	MMP0066	+	12	1.59997											
80623	MMP0068	+	6	1.124997											
80648	MMP0068	+	16	2.99975											
81066	MMP0069	+	453	3.559308											
82183	RNA_35	-	9	1.473659											
82260	MMP0070	+	17	1.566648											
82516	MMP0071	-	6	1.85702											
82526	MMP0071	-	12	1.54543											
82574	MMP0071	-	17	1.314809											
82593	RNA_1	+	1730	6.440234											
82647	RNA_1	+	70	2.186421											
82655	RNA_1	+	7	1.174996											
84858	MMP0072	+	14	1.823481											
86193	MMP0073	+	84	1.370042											
86201	MMP0073	+	38	1.395829											
86203	MMP0073	+	9	1.112499											
86206	MMP0073	+	14	1.274504											
86226	MMP0073	+	16	2.142776											
87414	MMP0076	-	209	1.436325											
87492	MMP0076	-	618	1.555755											
87495	MMP0076	-	766	1.412938											
87503	MMP0076	-	7699	2.145855											
88550	MMP0078	-	18	1.59998											
88596	MMP0078	-	15	1.241932											
88729	MMP0077	+	18	1.21951											
90377	MMP0079	+	47	1.443392											
90424	MMP0079	+	9	1.204541											
90531	MMP0079	+	18	1.782575											
91664	MMP0080	+	10	1.188676											
91765	MMP0080	+	14	1.378368											
95095	MMP0083	+	298	2.439607											
95107	MMP0083	+	33	1.343746											
95122	MMP0083	+	12	1.157893											
95128	MMP0083	+	16	1.301881											
95130	MMP0083	+	10	1.256404											
95325	MMP0084	-	7	1.099999											
97056	MMP0086	-	33	3.538266											
97665	MMP0087	-	6	2.999334											
97676	MMP0087	-	6	1.333315											
97728	MMP0087	-	37	1.616656											
97736	MMP0087	-	12	1.105262											
100124	MMP0089	-	9	1.374984											
101750	MMP0091	-	12	1.352931											
101758	MMP0091	-	9	1.173074											
101779	MMP0091	-	33	1.392852											
101782	MMP0091	-	33	1.261903											
101827	MMP0091	-	95	1.335688											
102387	MMP0092	-	11	1.234038											
102421	MMP0092	-	10	1.188676											
102467	MMP0092	-	8	1.114284											
102484	MMP0092	-	82	1.331982											
102506	MMP0092	-	139	1.273084											
102799	MMP0093	-	13	1.11111											
102857	MMP0093	-	79	1.541092											
102863	MMP0093	-	44	1.171874											
102867	MMP0093	-	43	1.126099											
102873	MMP0093	-	440	1.679011											
103187	MMP0094	-	13	1.270828											
103224	MMP0094	-	15	1.238091											
103264	MMP0094	-	10	1.10204											
105883	MMP0096	-	12	1.184613											
105913	MMP0095	+	13	1.113042											
105922	MMP0095	+	11	1.115788											
105953	MMP0095	+	20	1.370364											
107629	MMP0098	-	6	1.999833											
107654	MMP0098	-	25	2.19042											
107748	MMP0098	-	96	1.666662											
107759	MMP0098	-	971	2.900192											
109262	MMP0100	-	13	1.309516											
109266	MMP0100	-	69	1.873407											
109313	MMP0099	+	8	1.055555											
111759	MMP0102	+	14	2.39986											
112751	MMP0103	+	78	1.334763											
112756	MMP0103	+	23	1.132183											
112777	MMP0103	+	46	2.069743											
112903	MMP0103	+	11453	1.514002											
112954	RNA_2	+	61031	13.407194											
112961	RNA_2	+	577	1.209058											
112973	RNA_2	+	338	1.399055											
113005	RNA_2	+	249	1.248503											
113033	RNA_2	+	712	1.41156											
113074	RNA_2	+	1406	2.3327											
113082	RNA_2	+	147	1.160305											
113170	RNA_4	+	59	1.04844											
113171	RNA_3	+	296	1.321041											
113248	RNA_4	+	41	1.03457											
113249	RNA_3	+	234	1.245798											
113249	RNA_5	+	234	1.245798											
113403	RNA_5	+	1426216	10.039098											
113419	RNA_5	+	110143	1.993434											
113425	RNA_5	+	292	1.151925											
113495	RNA_37	+	1172	1.581926											
113508	RNA_37	+	507	1.410194											
113614	RNA_6	+	186	1.160207											
113677	RNA_6	+	125	1.125125											
113704	RNA_7	+	289	1.485713											
113707	RNA_7	+	81	1.166324											
113814	RNA_8	+	74	1.649117											
113822	RNA_8	+	8	1.11111											
113894	RNA_8	+	15	1.833287											
114416	MMP0104	+	10	1.588201											
114550	MMP0104	+	6	1.124997											
115028	MMP0105	+	96	1.767994											
115031	MMP0105	+	32	1.410251											
115084	MMP0105	+	10	1.333322											
116250	MMP0107	+	7	1.874891											
117403	MMP0108	+	10	2.110988											
120016	MMP0110	+	6	1.333315											
120506	MMP0112	-	14	2.39986											
124108	MMP0115	+	24	1.421045											
124115	MMP0115	+	18	1.818145											
124121	MMP0115	+	7	7.993007											
125221	MMP0116	+	21	1.199998											
125233	MMP0116	+	13	1.160492											
130258	MMP0123	+	147	2.580628											
130269	MMP0123	+	12	1.226411											
130332	MMP0123	+	16	1.484834											
130334	MMP0123	+	7	1.291655											
130862	MMP0125	-	27	1.964251											
130944	MMP0125	-	9	1.147539											
133587	MMP0127	-	29	3.636124											
133593	MMP0127	-	193	1.831893											
134963	MMP0128	-	9	1.818107											
137203	MMP0130	+	28	2.272669											
139355	MMP0133	-	25	1.147058											
139417	MMP0132	+	83	1.328062											
139419	MMP0133	-	226	2.046291											
141453	MMP0134	+	57	1.280787											
141456	MMP0134	+	37	1.308331											
141460	MMP0134	+	9	1.15254											
141464	MMP0134	+	26	2.130386											
142865	MMP0135	+	6	1.153842											
142900	MMP0135	+	7	1.155552											
143008	MMP0135	+	15	1.189871											
143392	MMP0136	+	217	1.854327											
143396	MMP0136	+	32	1.484841											
143400	MMP0136	+	8	1.173909											
143402	MMP0136	+	10	1.31249											
